customerNumber,customerName,productCode,productName,productLine,quantityOrdered,quantityInStock,warehouseCode,warehouseName,orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber,contactLastName,contactFirstName,addressLine1,city,state,postalCode,country
363,Online Diecast Creations Co.,S18_1749,1917 Grand Touring Sedan,Vintage Cars,30,2724,c,West,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,NULL,363,Young,Dorothy,2304 Long Airport Avenue,Nashua,NH,62005,USA
363,Online Diecast Creations Co.,S18_2248,1911 Ford Town Car,Vintage Cars,50,540,c,West,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,NULL,363,Young,Dorothy,2304 Long Airport Avenue,Nashua,NH,62005,USA
363,Online Diecast Creations Co.,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,22,6553,c,West,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,NULL,363,Young,Dorothy,2304 Long Airport Avenue,Nashua,NH,62005,USA
363,Online Diecast Creations Co.,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,49,2081,c,West,10100,2003-01-06,2003-01-13,2003-01-10,Shipped,NULL,363,Young,Dorothy,2304 Long Airport Avenue,Nashua,NH,62005,USA
128,"Blauer See Auto, Co.",S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,25,9354,c,West,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,Keitel,Roland,Lyonerstr. 34,Frankfurt,NULL,60528,Germany
128,"Blauer See Auto, Co.",S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,26,548,c,West,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,Keitel,Roland,Lyonerstr. 34,Frankfurt,NULL,60528,Germany
128,"Blauer See Auto, Co.",S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,45,7332,c,West,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,Keitel,Roland,Lyonerstr. 34,Frankfurt,NULL,60528,Germany
128,"Blauer See Auto, Co.",S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,46,2847,c,West,10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128,Keitel,Roland,Lyonerstr. 34,Frankfurt,NULL,60528,Germany
181,Vitachrome Inc.,S18_1342,1937 Lincoln Berline,Vintage Cars,39,8693,c,West,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,NULL,181,Frick,Michael,2678 Kingston Rd.,NYC,NY,10022,USA
181,Vitachrome Inc.,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,41,8635,c,West,10102,2003-01-10,2003-01-18,2003-01-14,Shipped,NULL,181,Frick,Michael,2678 Kingston Rd.,NYC,NY,10022,USA
121,Baane Mini Imports,S10_1949,1952 Alpine Renault 1300,Classic Cars,26,7305,b,East,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S10_4962,1962 LanciaA Delta 16V,Classic Cars,42,6791,b,East,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S12_1666,1958 Setra Bus,Trucks and Buses,27,1579,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
121,Baane Mini Imports,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,35,2613,d,South,10103,2003-01-29,2003-02-07,2003-02-02,Shipped,NULL,121,Bergulfsen,Jonas ,Erling Skakkes gate 78,Stavern,NULL,4110,Norway
